source	target
CELSR2	CSTL1
CELSR2	DCANP1
CELSR2	DHFR
CELSR2	DKKL1
CELSR2	DTWD2
CELSR2	EHBP1
CELSR2	FBXO10
CELSR2	FBXO6
CELSR2	FCGR1A
CELSR2	FGFRL1
CELSR2	FLRT1
CELSR2	FNDC11
CELSR2	GPBAR1
CELSR2	GPR173
CELSR2	IL5RA
CELSR2	KLK15
CELSR2	KLK5
CELSR2	LAG3
CELSR2	LGALS1
CELSR2	LY86
CELSR2	LYPD6
CELSR2	MCM5
CELSR2	NAA11
CELSR2	NAALADL2
CELSR2	NXPH2
CELSR2	NXPH3
CELSR2	PCDH12
CELSR2	PCDH20
CELSR2	PCDHGB1
CELSR2	PRG2
CELSR2	PSG8
CELSR2	RBPJL
CELSR2	RPL23
CELSR2	RYK
CELSR2	S1PR4
CELSR2	SAP18
CELSR2	SIRPD
CELSR2	SOCS1
CELSR2	SOCS7
CELSR2	SPSB2
CELSR2	SPSB4
CELSR2	SSX6P
CELSR2	ST8SIA4
CELSR2	TACSTD2
CELSR2	TMEM30B
CELSR2	TSPAN15
CELSR2	TSPAN5
CELSR2	UPK2
CELSR2	USP36
CELSR2	VAPB
CELSR2	ZBBX
CELSR2	ZNF252P-AS1
CELSR3	CTCF
CELSR3	DCANP1
CELSR3	DKKL1
CELSR3	FBXO2
CELSR3	LLCFC1
CELSR3	PCDH20
CELSR3	PCDHB11
CELSR3	PCDHGB1
CELSR3	PCDHGB4
CELSR3	PCDHGB5
CELSR3	PSG1
CELSR3	PSG8
CELSR3	PSG9
CELSR3	RYK
CELSR3	SPSB4
CELSR3	TMED7
CEMIP	CFC1
CEMIP	COPA
CEMIP	DNAJB9
CEMIP	DNASE1L1
CEMIP	FBXO2
CEMIP	MFAP4
CEMIP	MIB1
CEMIP	PHKB
CEMIP2	CLEC12B
CEMIP2	CLGN
CEMIP2	CRP
CEMIP2	CST9L
CEMIP2	DEFB135
CEMIP2	DNAJC25
CEMIP2	DNASE1L1
CEMIP2	DPEP2
CEMIP2	EDDM3A
CEMIP2	EDDM3B
CEMIP2	FBXO2
CEMIP2	GALNT10
CEMIP2	IL5RA
CEMIP2	INS
CEMIP2	INSL5
CEMIP2	LCN6
CEMIP2	LGALS1
CEMIP2	LLCFC1
CEMIP2	LYZL1
CEMIP2	LYZL6
CEMIP2	NAAA
CEMIP2	PDGFRA
CEMIP2	PNLIPRP1
CEMIP2	PSCA
CEMIP2	PTCH1
CEMIP2	RHOB
CEMIP2	SCGB2A2
CEMIP2	SDF2L1
CEMIP2	SFTPC
CEMIP2	TMEM106A
CEMP1	FNDC3B
CEMP1	PABPN1L
CEMP1	PITRM1
CEMP1	PLXNC1
CEMP1	VWC2L
CENATAC	GINS1
CENATAC	MESD
CENATAC	MRPL38
CENATAC	NAT10
CENATAC	NDOR1
CENATAC	PPIL3
CENATAC	PRPF3
CENATAC	PRPF4
CENATAC	SASS6
CENATAC	SIRT1
CENATAC	SNRPE
CENATAC	SNRPGP15
CENATAC	TUT1
CENATAC	TXNL4B
CENATAC	WDR83
CENATAC	ZNF114
CEND1	EGFR
CEND1	GLP1R
CEND1	MAGED4
CEND1	MFF
CENPA	CENPB
CENPA	CENPC
CENPA	CENPH
CENPA	CENPI
CENPA	CENPM
CENPA	CENPN
CENPA	CENPT
CENPA	CENPU
CENPA	H2AC4
CENPA	H2AX
CENPA	H2AZ1
CENPA	H2BC3
CENPA	H3-3A
CENPA	H3-7
CENPA	H4C1
CENPA	HJURP
CENPA	MACROH2A1
CENPA	MCM2
CENPA	MIS18A
CENPA	NOL8
CENPA	NPM1
CENPA	OIP5
CENPA	OPTN
CENPA	PHIP
CENPA	RSF1
CENPA	RUVBL1
CENPA	SMARCA5
CENPA	SSRP1
CENPA	SUPT16H
CENPB	CSNK2B
CENPB	DKK2
CENPB	EN1
CENPB	FEZF1
CENPB	FOXF2
CENPB	GLI4
CENPB	HPSE2
CENPB	KIF20A
CENPB	KNOP1
CENPB	LRRTM4
CENPB	MAP10
CENPB	NAP1L2
CENPB	NOG
CENPB	PES1
CENPB	PNMA8A
CENPB	PNPLA7
CENPB	RPL22
CENPB	SHFL
CENPB	SULF2
CENPB	SYT2
CENPB	TFPI2
CENPB	TRIM52
CENPB	TSPYL6
CENPB	ZKSCAN8
CENPB	ZNF169
CENPB	ZNF17
CENPB	ZNF214
CENPB	ZNF223
CENPB	ZNF263
CENPB	ZNF264
CENPB	ZNF311
CENPB	ZNF331
CENPB	ZNF354C
CENPB	ZNF408
CENPB	ZNF418
CENPB	ZNF460
CENPB	ZNF514
CENPB	ZNF543
CENPB	ZNF550
CENPB	ZNF669
CENPB	ZNF677
CENPB	ZNF707
CENPB	ZNF816
CENPB	ZXDA
CENPB	ZXDB
CENPC	CENPU
CENPC	CHTOP
CENPC	DGCR8
CENPC	DSN1
CENPC	FGL1
CENPC	H1-2
CENPC	H1-5
CENPC	ILF3
CENPC	MACROH2A2
CENPC	MIS12
CENPC	MYC
CENPC	NDC80
CENPC	NEIL1
CENPC	NIFK
CENPC	NPM1
CENPC	NUF2
CENPC	OASL
CENPC	PMF1
CENPC	PRKRA
CENPC	PTEN
CENPC	RBM34
CENPC	RBM4
CENPC	RPL13A
CENPC	RPL15
CENPC	RPL18
CENPC	RPL28
CENPC	RPL3
CENPC	RPL36
CENPC	RPL4
CENPC	RPS6
CENPC	RRP8
CENPC	SRSF6
CENPC	ZBTB47
CENPE	CLASP2
CENPE	FANCA
CENPE	LCP1
CENPE	LMO1
CENPE	MAD1L1
CENPE	MAPK1
CENPE	MED4
CENPE	NKAP
CENPE	NUF2
CENPE	PCM1
CENPE	PRC1
CENPE	RABEP1
CENPE	SKP1
CENPE	SOCS6
CENPE	SYCE3
CENPE	WHAMMP3
CENPF	CUL3
CENPF	FNTA
CENPF	FNTB
CENPF	GOPC
CENPF	H4C1
CENPF	IKBKG
CENPF	KXD1
CENPF	MAGEA3
CENPF	MRFAP1L1
CENPF	MTMR9
CENPF	MYC
CENPF	NDEL1
CENPF	NUP133
CENPF	PPP1R13B
CENPF	SYCE1
CENPF	TCP10L
CENPF	TXLNA
CENPH	CENPI
CENPH	CENPK
CENPH	CENPM
CENPH	CENPN
CENPH	CENPO
CENPH	CENPP
CENPH	CENPQ
CENPH	CENPU
CENPH	CHAT
CENPH	DCTN2
CENPH	DGCR2
CENPH	DRC3
CENPH	EFNA4
CENPH	EPHA4
CENPH	ERH
CENPH	FAM20B
CENPH	FGFR3
CENPH	FNDC3B
CENPH	GPX8
CENPH	H2AP
CENPH	HGFAC
CENPH	HRAS
CENPH	IFT20
CENPH	IFT57
CENPH	ING2
CENPH	INSYN1
CENPH	KRT27
CENPH	KRT38
CENPH	KXD1
CENPH	LMAN2
CENPH	LMNB1
CENPH	LRRC25
CENPH	LRRC55
CENPH	MESD
CENPH	MTAP
CENPH	NDC80
CENPH	NUP54
CENPH	ODAD1
CENPH	ODAD3
CENPH	PARM1
CENPH	PKD2
CENPH	PSMD11
CENPH	RASSF4
CENPH	RASSF7
CENPH	RPL13
CENPH	RPL28
CENPH	RPL3
CENPH	SLC25A31
CENPH	SPAG5
CENPH	SPINT2
CENPH	SYCE3
CENPH	TEKT2
CENPH	TRIM36
CENPH	UBB
CENPH	ZMPSTE24
CENPH	ZNF493
CENPH	ZSCAN12
CENPI	CENPK
CENPI	CENPM
CENPI	CENPN
CENPI	CENPO
CENPI	CENPQ
CENPI	CENPU
CENPI	CEP76
CENPI	DGCR8
CENPI	EFNA4
CENPI	H1-2
CENPI	MYBBP1A
CENPI	NEIL1
CENPI	RBM34
CENPI	RPL13
CENPI	RPL36
CENPI	RPLP0
CENPI	SRP14
CENPI	ZBTB47
CENPI	ZNF346
CENPI	ZNF71
CENPK	CENPM
CENPK	CENPN
CENPK	CENPS
CENPK	CENPU
CENPK	CEP250
CENPK	DHRS12
CENPK	EFNA4
CENPK	MRFAP1L1
CENPK	PEX14
CENPK	PXDN
CENPK	RTN4IP1
CENPK	SOX6
CENPK	SPECC1L
CENPK	WASHC3
CENPK	YES1
CENPL	CENPM
CENPL	CENPN
CENPL	CENPU
CENPL	CILK1
CENPL	FAM9B
CENPL	PRKRA
CENPL	RBM42
CENPL	RPL13
CENPL	RPLP0
CENPL	SCN3B
CENPM	CENPN
CENPM	CENPO
CENPM	CENPQ
CENPM	CENPU
CENPM	CISD2
CENPM	COASY
CENPM	CTDSP1
CENPM	CTNNBL1
CENPM	CYB5R3
CENPM	CYRIB
CENPM	DNM1L
CENPM	EFHD2
CENPM	EFR3B
CENPM	FARSB
CENPM	FLYWCH2
CENPM	GAMT
CENPM	GAP43
CENPM	GNAZ
CENPM	GNE
CENPM	GNG7
CENPM	GSTK1
CENPM	HIBCH
CENPM	HRAS
CENPM	INPP5A
CENPM	LETM1
CENPM	MCTS1
CENPM	MICAL1
CENPM	MVB12A
CENPM	NAA25
CENPM	NAA50
CENPM	NARS1
CENPM	NDUFB5
CENPM	NELFB
CENPM	NRAS
CENPM	NRN1
CENPM	PALM
CENPM	PALS2
CENPM	PDCD10
CENPM	PDXP
CENPM	PLPBP
CENPM	PRXL2A
CENPM	QKI
CENPM	RAB5A
CENPM	RAB5B
CENPM	RAB8A
CENPM	RALB
CENPM	RAP1A
CENPM	RAP1B
CENPM	RBM12
CENPM	RECQL
CENPM	RHOA
CENPM	RMDN1
CENPM	RPRD1A
CENPM	RPRD1B
CENPM	S100A13
CENPM	SAR1B
CENPM	SF3A1
CENPM	SNF8
CENPM	SNX3
CENPM	SRC
CENPM	STX4
CENPM	STX8
CENPM	STXBP2
CENPM	TBCE
CENPM	TKFC
CENPM	TMT1A
CENPM	TOMM34
CENPM	TTC7B
CENPM	UBTD1
CENPM	VAMP2
CENPM	VAMP3
CENPM	VPS25
CENPM	VPS35
CENPM	VPS36
CENPM	YES1
CENPM	YKT6
CENPM	ZMPSTE24
CENPN	CENPO
CENPN	CENPQ
CENPN	CENPU
CENPN	CNBP
CENPN	DDX21
CENPN	DGCR8
CENPN	DNAAF19
CENPN	FGFBP1
CENPN	GORASP1
CENPN	KNOP1
CENPN	LIN28B
CENPN	MAMDC4
CENPN	NIFK
CENPN	OSGIN1
CENPN	PCDHA12
CENPN	PCDHB3
CENPN	PCDHGB1
CENPN	PCDHGB4
CENPN	PRKRA
CENPN	RAMP2
CENPN	RBM34
CENPN	RBM4
CENPN	REXO4
CENPN	RPL13
CENPN	RPL28
CENPN	RPL3
CENPN	RPL30
CENPN	RPL36
CENPN	RPL37A
CENPN	RPL4
CENPN	RPL7A
CENPN	RPLP0
CENPN	SCN3B
CENPN	SRSF5
CENPN	TSSK3
CENPN	ZBTB47
CENPN	ZNF71
CENPO	CENPP
CENPO	CENPQ
CENPO	CENPU
CENPO	CEP170
CENPO	CEP170P1
CENPO	DCDC2
CENPO	FGFBP1
CENPO	FOS
CENPO	FOSB
CENPO	H1-2
CENPO	ITGB3BP
CENPO	NECAB2
CENPO	PEX19
CENPO	RPL28
CENPO	RPL4
CENPO	S100A2
CENPO	SRSF4
CENPO	WDR4
CENPP	CENPQ
CENPP	CENPU
CENPP	CEP44
CENPP	GOLGA2
CENPP	HAUS1
CENPP	ITGB3BP
CENPP	KIAA1328
CENPP	KLC3
CENPP	MBD3
CENPP	NHLH1
CENPP	NTAQ1
CENPP	PEX19
CENPP	PKNOX2
CENPP	POLR3K
CENPP	RNF126
CENPP	RPIA
CENPP	RPL28
CENPP	SERTAD3
CENPP	SRSF5
CENPP	STXBP1
CENPP	SYCE1L
CENPP	TEX11
CENPP	TOX2
CENPP	USHBP1
CENPP	ZNF341
CENPP	ZNF765
CENPQ	CENPU
CENPQ	COG6
CENPQ	CREB1
CENPQ	CREB5
CENPQ	DDX21
CENPQ	DGCR8
CENPQ	EHHADH
CENPQ	EMILIN1
CENPQ	FLII
CENPQ	GIT1
CENPQ	GIT2
CENPQ	H1-3
CENPQ	HDAC7
CENPQ	HEATR3
CENPQ	HOMER1
CENPQ	ITGB3BP
CENPQ	ITPR3
CENPQ	JUN
CENPQ	JUNB
CENPQ	JUND
CENPQ	KXD1
CENPQ	LRRFIP1
CENPQ	LRRFIP2
CENPQ	MACROH2A2
CENPQ	PICALM
CENPQ	PLK1
CENPQ	PTX3
CENPQ	REXO4
CENPQ	RPL13
CENPQ	RPL28
CENPQ	RPL3
CENPQ	RPL36
CENPQ	RPL4
CENPQ	RPL7A
CENPQ	RPLP0
CENPQ	RPS16
CENPQ	SCLT1
CENPQ	SIKE1
CENPQ	SNX2
CENPQ	SPC25
CENPQ	SRSF4
CENPQ	SRSF5
CENPQ	STX5
CENPQ	STX8
CENPQ	TANK
CENPQ	TBK1
CENPQ	TFPT
CENPQ	TRAF7
CENPQ	TSGA10
CENPQ	VTI1B
CENPQ	ZBTB47
CENPQ	ZFC3H1
CENPQ	ZNF346
CENPS	CENPT
CENPS	CENPX
CENPS	CFAP68
CENPS	CTNNA3
CENPS	FAAP100
CENPS	FAAP24
CENPS	FANCA
CENPS	FANCB
CENPS	FANCC
CENPS	FANCE
CENPS	FANCF
CENPS	FANCG
CENPS	FANCL
CENPS	FANCM
CENPS	HOMEZ
CENPS	HTT
CENPS	LHX4
CENPS	MRFAP1
CENPS	RGPD5
CENPS	RGPD8
CENPS	RMI1
CENPS	RPA1
CENPS	RPA2
CENPS	RSF1
CENPS	SPRED1
CENPS	TOP3A
CENPT	CENPU
CENPT	CENPW
CENPT	COPS5
CENPT	KCNE3
CENPT	RPL28
CENPT	RPL36
CENPT	SPC24
CENPT	SPC25
CENPT	SRSF5
CENPT	ZBTB47
CENPU	CFAP141
CENPU	CNBP
CENPU	COL8A1
CENPU	DGCR8
CENPU	EHHADH
CENPU	FGF3
CENPU	FGFBP1
CENPU	GNL2
CENPU	H1-2
CENPU	IFI27L1
CENPU	ILF3
CENPU	ITGB3BP
CENPU	KNOP1
CENPU	MAGEB2
CENPU	MLF1
CENPU	MYBBP1A
CENPU	NDC80
CENPU	NEIL1
CENPU	NUP62
CENPU	PLK1
CENPU	PRKRA
CENPU	RBM34
CENPU	RBM4
CENPU	RPL11
CENPU	RPL13
CENPU	RPL15
CENPU	RPL18A
CENPU	RPL28
CENPU	RPL36
CENPU	RPL4
CENPU	RPL7A
CENPU	RPLP0
CENPU	RRP8
CENPU	RUSF1
CENPU	SRP14
CENPU	SRSF5
CENPU	SRSF6
CENPU	TFIP11
CENPU	ZBTB47
CENPU	ZNF2
CENPU	ZNF467
CENPU	ZNF48
CENPU	ZNF512
CENPV	CHCHD10
CENPV	CYLD
CENPV	DDX21
CENPV	DMWD
CENPV	DNALI1
CENPV	EZH2
CENPV	H3-3A
CENPV	HLA-A
CENPV	HNRNPCL2
CENPV	HTRA2
CENPV	HTT
CENPV	IFI16
CENPV	ILF3
CENPV	JPH3
CENPV	KAT5
CENPV	KLF11
CENPV	LENEP
CENPV	LGALS13
CENPV	LMO3
CENPV	LSAMP
CENPV	LYN
CENPV	MECP2
CENPV	NOP2
CENPV	NPM3
CENPV	PLEKHO1
CENPV	PPIB
CENPV	PRKY
CENPV	PRPH
CENPV	RBM19
CENPV	RPL37A
CENPV	RPL4
CENPV	RPLP0
CENPV	RPS14
CENPV	RRP8
CENPV	RSL1D1
CENPV	S100A2
CENPV	SETDB1
CENPV	SNCA
CENPV	SOD1
CENPV	SPRED1
CENPV	TNFRSF1B
CENPV	YWHAG
CENPV	ZC3H10
CENPV	ZNF467
CENPW	COPS5
CENPW	CUL1
CENPW	PMVK
CENPX	FAAP100
CENPX	FAAP24
CENPX	FANCA
CENPX	FANCC
CENPX	FANCE
CENPX	FANCF
CENPX	FANCG
CENPX	FANCL
CENPX	FANCM
CENPX	REL
CENPX	RMI1
CENPX	RPA1
CENPX	RPA2
CENPX	RSF1
CENPX	TRIM54
CENPX	UBE2I
CEP104	VSIG8
CEP112	ERC1
CEP112	PNMA2
CEP112	PRPS2
CEP112	S100B
CEP112	SFN
CEP112	YWHAB
CEP112	YWHAE
CEP112	YWHAG
CEP112	YWHAH
CEP112	YWHAQ
CEP112	YWHAZ
CEP120	CEP162
CEP120	DONSON
CEP120	HLX
CEP120	HYLS1
CEP120	LTBR
CEP120	NOL7
CEP120	PAGE1
CEP120	RRBP1
CEP120	SPICE1
CEP120	TBC1D2B
CEP126	FEZ1
CEP126	GADD45G
CEP126	GIT1
CEP126	HMOX2
CEP126	HTT
CEP126	KAT5
CEP126	KAT7
CEP126	LUC7L2
CEP126	NUDT21
CEP126	YAE1
CEP128	CEP135
CEP128	CEP162
CEP128	INKA2
CEP128	KIAA0753
CEP128	OFD1
CEP128	PCM1
CEP128	S100A4
CEP128	S100A6
CEP128	SSX2IP
CEP128	TSNAX
CEP131	CEP135
CEP131	CEP152
CEP131	CEP162
CEP131	CEP290
CEP131	CPAP
CEP131	CYLD
CEP131	DKK3
CEP131	DRC8
CEP131	FAM184A
CEP131	IGFL3
CEP131	KRT2
CEP131	LRRCC1
CEP131	LTBR
CEP131	LZTS2
CEP131	MAGEA3
CEP131	MAPRE1
CEP131	MCC
CEP131	MIB1
CEP131	MRPL12
CEP131	OFD1
CEP131	PCM1
CEP131	PCNT
CEP131	PIBF1
CEP131	PNMA2
CEP131	RCOR1
CEP131	SDCCAG8
CEP131	SLC25A41
CEP131	SSX2IP
CEP131	TEX264
CEP131	TMEM59
CEP131	TRIM52
CEP131	TSSK1B
CEP131	WHAMMP3
CEP131	YWHAB
CEP131	YWHAE
CEP131	YWHAG
CEP131	YWHAH
CEP131	YWHAZ
CEP135	CEP152
CEP135	CEP162
CEP135	CEP20
CEP135	CEP250
CEP135	CEP290
CEP135	CEP295
CEP135	CEP43
CEP135	CEP72
CEP135	CPAP
CEP135	CSPP1
CEP135	ERC1
CEP135	GOLGB1
CEP135	INSYN1
CEP135	KIAA0753
CEP135	KIAA1328
CEP135	KIF14
CEP135	LZTS2
CEP135	MAPRE1
CEP135	MIB1
CEP135	MIS18A
CEP135	NDEL1
CEP135	NUFIP2
CEP135	OFD1
CEP135	PCM1
CEP135	PIBF1
CEP135	RC3H1
CEP135	SASS6
CEP135	SIPA1L3
CEP135	SPICE1
CEP135	SSX2IP
CEP135	TBC1D31
CEP135	TTLL5
CEP135	TXLNA
CEP135	TXLNB
CEP135	WRAP73
CEP15	CEP89
CEP15	DDX3Y
CEP15	NCS1
CEP15	POTEF
CEP15	SERPINA12
CEP15	SMPDL3B
CEP15	YES1
CEP152	CEP57
CEP152	CEP63
CEP152	CPAP
CEP152	DYNLL1
CEP152	DYNLL2
CEP152	IRF5
CEP152	KRT222
CEP152	KRT37
CEP152	KRT38
CEP152	MOV10
CEP152	PLK4
CEP152	RABEP2
CEP152	SYCE1
CEP152	WHAMMP3
CEP162	CEP170
CEP162	CEP290
CEP162	CEP55
CEP162	CEP97
CEP162	CPVL
CEP162	CSPP1
CEP162	HAUS1
CEP162	HAUS4
CEP162	KCTD8
CEP162	KIAA0753
CEP162	MED4
CEP162	OFD1
CEP162	PCM1
CEP162	PIBF1
CEP162	PYCR1
CEP162	PYCR2
CEP162	SPICE1
CEP162	SSX2IP
CEP162	SYBU
CEP162	TBC1D31
CEP162	WRAP73
CEP164	CFAP184
CEP164	CLP1
CEP164	COP1
CEP164	CRYL1
CEP164	DISC1
CEP164	DUSP16
CEP164	DVL3
CEP164	EFHD1
CEP164	KRT2
CEP164	KRT222
CEP164	KRT38
CEP164	LIPH
CEP164	LYPD4
CEP164	MFHAS1
CEP164	NCAPH2
CEP164	NCKAP5
CEP164	RALBP1
CEP164	RNPS1
CEP164	SLC25A18
CEP164	SNAPC4
CEP164	SOCS7
CEP164	SYCE3
CEP164	TAFA3
CEP164	THSD4
CEP164	TRIM52
CEP164	TTBK2
CEP164	XPA
CEP170	CEP170P1
CEP170	CEP290
CEP170	CLHC1
CEP170	CPN1
CEP170	CSNK2A1
CEP170	CSNK2A2
CEP170	CSNK2B
CEP170	DISC1
CEP170	EMILIN1
CEP170	FAM9C
CEP170	FRAT2
CEP170	HAUS1
CEP170	HECTD1
CEP170	HERC2
CEP170	HSPA8
CEP170	INAVA
CEP170	INSYN1
CEP170	KIF2A
CEP170	KIF2B
CEP170	KIF2C
CEP170	KIFC3
CEP170	KXD1
CEP170	LCA5
CEP170	LMO1
CEP170	LMO3
CEP170	LMO4
CEP170	MAP2K2
CEP170	MAPK6
CEP170	MAPRE1
CEP170	MRFAP1L1
CEP170	NELL2
CEP170	ODAD3
CEP170	OIP5
CEP170	PCM1
CEP170	PNMA2
CEP170	PPP2R3A
CEP170	RAF1
CEP170	RALYL
CEP170	RPGRIP1L
CEP170	RUNX1T1
CEP170	S100A4
CEP170	SMARCE1
CEP170	SNAPIN
CEP170	SQSTM1
CEP170	SSC5D
CEP170	SURF6
CEP170	TEKT2
CEP170	TFPT
CEP170	TRIM10
CEP170	WDR62
CEP170	YWHAB
CEP170	YWHAE
CEP170	YWHAG
CEP170	YWHAH
CEP170	YWHAQ
CEP170	YWHAZ
CEP170B	CEP170P1
CEP170B	DEFA5
CEP170B	DYNLL2
CEP170B	FGFR3
CEP170B	FKBP1A
CEP170B	HRAS
CEP170B	HSPA2
CEP170B	INSYN1
CEP170B	KIF2A
CEP170B	KIF2B
CEP170B	NTAQ1
CEP170B	PNMA2
CEP170B	S100P
CEP170B	SARS1
CEP170B	SCRIB
CEP170B	TRIP13
CEP170B	YWHAB
CEP170B	YWHAE
CEP170B	YWHAG
CEP170B	YWHAH
CEP170B	YWHAZ
CEP170P1	CEP250
CEP170P1	CLHC1
CEP170P1	CORO1B
CEP170P1	DAPK3
CEP170P1	DSTYK
CEP170P1	FRAT2
CEP170P1	HAUS1
CEP170P1	KIFC3
CEP170P1	LMO1
CEP170P1	LMO4
CEP170P1	MIS18A
CEP170P1	NIN
CEP170P1	OIP5
CEP170P1	PCYT1A
CEP170P1	PDE4DIP
CEP170P1	PRKACG
CEP170P1	RALYL
CEP170P1	RFWD3
CEP170P1	RUFY2
CEP170P1	SHISA2
CEP170P1	SMARCE1
CEP170P1	SNAPIN
CEP170P1	SPAG5
CEP170P1	SSC5D
CEP170P1	STX8
CEP170P1	SYNE2
CEP170P1	TNKS
CEP170P1	VAMP8
CEP170P1	VPS53
CEP170P1	VTI1B
CEP19	CEP350
CEP19	CEP43
CEP19	CREB1
CEP19	CREB3L3
CEP19	DDIT4L
CEP19	EVI5
CEP19	FMN2
CEP19	FOXR1
CEP19	GMEB2
CEP19	GNL3
CEP19	HSPB2
CEP19	HSPB2-C11orf52
CEP19	KIAA1958
CEP19	KXD1
CEP19	LYSMD2
CEP19	MCM3
CEP19	MCM5
CEP19	NCBP3
CEP19	NDRG1
CEP19	NOTO
CEP19	PAPSS2
CEP19	PDCD11
CEP19	PEX13
CEP19	PGCKA1
CEP19	PIBF1
CEP19	PICK1
CEP19	PIK3R3
CEP19	PLEKHO1
CEP19	PPP2R1A
CEP19	PPP2R1B
CEP19	PPP2R3C
CEP19	PRAP1
CEP19	PRKAR1B
CEP19	PTPN23
CEP19	RABL2A
CEP19	RABL2B
CEP19	REL
CEP19	ROBO4
CEP19	SENP3
CEP19	SERTAD3
CEP19	SLTM
CEP19	SMARCAD1
CEP19	SMCHD1
CEP19	SYNE4
CEP19	TNNI1
CEP19	TRAIP
CEP19	TSPYL2
CEP19	TVP23B
CEP19	TXLNB
CEP19	UBE2Z
CEP19	VCP
CEP19	VPS52
CEP19	YTHDF1
CEP19	ZBTB10
CEP19	ZBTB14
CEP19	ZFP1
CEP19	ZNF420
CEP19	ZNF438
CEP19	ZNF81
CEP192	CEP85
CEP192	CYLD
CEP192	DCTPP1
CEP192	DUSP16
CEP192	EGLN2
CEP192	FEZ1
CEP192	FMR1
CEP192	FTL
CEP192	HECTD3
CEP192	HOMER3
CEP192	LOXL4
CEP192	NEDD1
CEP192	NUP50
CEP192	PIPSL
CEP192	PLK4
CEP192	PPP1CA
CEP192	RABEP2
CEP192	RPGRIP1L
CEP192	S100P
CEP192	SIL1
CEP192	TRIM37
CEP20	CRYGD
CEP20	DYNLL2
CEP20	KIAA0753
CEP20	KRT83
CEP20	LIN7B
CEP20	MRFAP1L1
CEP20	OFD1
CEP20	TYW1
CEP250	COG3
CEP250	CTNNB1
CEP250	ENTHD1
CEP250	FAM167A
CEP250	GRIPAP1
CEP250	HNRNPH1
CEP250	KRT23
CEP250	KRT27
CEP250	KXD1
CEP250	LGALS3BP
CEP250	LZTFL1
CEP250	MOV10
CEP250	MRGBP
CEP250	NEK2
CEP250	NIN
CEP250	NUP54
CEP250	NUP62
CEP250	OPTN
CEP250	PPP1R13B
CEP250	RALBP1
CEP250	REP15
CEP250	SGF29
CEP250	SIK2
CEP250	SMTNL1
CEP250	SPTA1
CEP250	SYNC
CEP250	SYNGAP1
CEP250	WHAMMP3
CEP250	ZNF365
CEP290	CEP43
CEP290	CEP72
CEP290	CEP76
CEP290	CEP97
CEP290	DTNBP1
CEP290	ECH1
CEP290	FAXC
CEP290	FTL
CEP290	IQCB1
CEP290	KIAA1328
CEP290	KLHL3
CEP290	LZTS2
CEP290	MCC
CEP290	MCM7
CEP290	MED4
CEP290	MIB1
CEP290	NAP1L2
CEP290	NEDD1
CEP290	NEURL4
CEP290	OFD1
CEP290	PEG10
CEP290	PIBF1
CEP290	PICK1
CEP290	PNMA2
CEP290	POLR3H
CEP290	SSX2IP
CEP290	TRIM52
CEP290	USP9X
CEP290	ZNF423
CEP295	CFAP184
CEP295	DUSP16
CEP295	EXOC1
CEP295	FGFR2
CEP295	GOLGA6L2
CEP295	MLF1
CEP295	S100A2
CEP295	SLC31A1
CEP295	SPICE1
CEP295	TRIM52
CEP350	CEP43
CEP350	CEP78
CEP350	CFAP184
CEP350	CTNNA1
CEP350	CYLD
CEP350	DISC1
CEP350	DUSP16
CEP350	EIF3B
CEP350	KCNE3
CEP350	KRT2
CEP350	MAPRE1
CEP350	MCC
CEP350	NCKAP5
CEP350	OFD1
CEP350	PCM1
CEP350	PIP
CEP350	PLK4
CEP350	PNMA2
CEP350	PPP2CA
CEP350	PPP2CB
CEP350	PPP2R1A
CEP350	PPP2R3C
CEP350	RABL2B
CEP350	RITA1
CEP350	RNF10
CEP350	S100A2
CEP350	SQSTM1
CEP350	TRIM52
CEP350	VIRMA
CEP41	CERS2
CEP41	CTU2
CEP41	DMWD
CEP41	RBM14
CEP41	RIC8B
CEP41	SPRED1
CEP41	URM1
CEP43	CEP78
CEP43	CFAP184
CEP43	CSTF3
CEP43	DISC1
CEP43	DUSP16
CEP43	KIAA0753
CEP43	KRT2
CEP43	LETM1
CEP43	LYN
CEP43	MAPRE1
CEP43	MSL3
CEP43	OFD1
CEP43	P4HA3
CEP43	PCM1
CEP43	PEX5
CEP43	PIP
CEP43	PKD1L1-AS1
CEP43	POTEI
CEP43	PPP2CA
CEP43	PPP2CB
CEP43	PPP2R1A
CEP43	PPP2R1B
CEP43	PPP2R3C
CEP43	PRKAR1B
CEP43	RABL2A
CEP43	RABL2B
CEP43	RAD50
CEP43	RHOA
CEP43	RITA1
CEP43	RNF10
CEP43	S100A6
CEP43	SCLT1
CEP43	SPECC1L
CEP43	SPRED1
CEP43	SYMPK
CEP43	TADA2B
CEP43	TRIM52
CEP43	VASP
CEP43	WHAMMP3
CEP43	YES1
CEP44	CEP57L1
CEP44	CEP85
CEP44	CFAP184
CEP44	CHIC2
CEP44	CNGA4
CEP44	CORO1A
CEP44	DCTN2
CEP44	DHX57
CEP44	DIP2A
CEP44	DISC1
CEP44	ERAL1
CEP44	EXOC3
CEP44	FAM161A
CEP44	FAM167A
CEP44	FAM9C
CEP44	FXR2
CEP44	GGA1
CEP44	GNG11
CEP44	H2AP
CEP44	HAUS1
CEP44	HDAC1
CEP44	IFT81
CEP44	IKZF5
CEP44	ING5
CEP44	KIAA0930
