source	target
AAMDC	DNM2
AAMDC	GDAP1
AAMDC	GORASP2
AAMDC	HTT
AAMDC	VPS9D1
AAMP	ACE2
AAMP	AEN
AAMP	ASAH1
AAMP	BHLHE40
AAMP	CCDC9
AAMP	GABARAPL2
AAMP	INPP5K
AAMP	NKAPD1
AAMP	PRKN
AAMP	PTPRU
AAMP	RPL10
AAMP	TBXA2R
AAMP	VPS52
AAMP	WNK1
AANAT	BHLHE40
AANAT	CIDEB
AANAT	EIF4E3
AANAT	GRB10
AANAT	KRTAP8-1
AANAT	MDFI
AANAT	NACC2
AANAT	YWHAZ
AAR2	ACKR5
AAR2	ANLN
AAR2	AQR
AAR2	BCAS2
AAR2	C9orf78
AAR2	CCDC12
AAR2	CD2BP2
AAR2	CDK1
AAR2	CRNKL1
AAR2	CUL3
AAR2	DDX23
AAR2	DHX38
AAR2	EAPP
AAR2	ECD
AAR2	EFTUD2
AAR2	FTL
AAR2	GHDC
AAR2	GJA5
AAR2	HADHA
AAR2	KLHL36
AAR2	MYC
AAR2	MYH7
AAR2	NCDN
AAR2	PHB1
AAR2	POTEF
AAR2	PRPF19
AAR2	PRPF6
AAR2	PRPF8
AAR2	PRTN3
AAR2	PTGES3
AAR2	RUVBL1
AAR2	RUVBL2
AAR2	S1PR4
AAR2	SLC25A4
AAR2	SMARCC2
AAR2	SNRNP200
AAR2	SNRNP40
AAR2	SNRPB
AAR2	SNRPD1
AAR2	SNRPD2
AAR2	SNRPE
AAR2	SNRPF
AAR2	SNRPGP15
AAR2	SNRPN
AAR2	SRSF5
AAR2	TPM3
AAR2	TSSC4
AAR2	TTC27
AAR2	TUBB2A
AAR2	XAB2
AAR2	ZNHIT2
AARD	CENPQ
AARD	CEP57
AARD	GRIPAP1
AARD	KIAA0753
AARD	KRT24
AARD	KRT27
AARD	LMO4
AARD	MAGEB4
AARD	NTAQ1
AARD	STX1A
AARD	STX2
AARD	STX5
AARD	TFIP11
AARD	TSGA10
AARD	VPS37C
AARS1	ASNS
AARS1	GARS1
AARS1	IARS1
AARS1	PRKN
AARS2	ACAA2
AARS2	ACSM5
AARS2	ALDH1B1
AARS2	AMACR
AARS2	APP
AARS2	BCL2L12
AARS2	CD70
