Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_ERBB_SIGNALING_PATHWAY,0.8187654436148395,1.684744482038385,0.0012578616352201257,0.06220465440718882,0.046,7/21,9.02%,PLCG1;MAPK3;BRAF;RAF1;PDPK1;MAP2K2;PIK3C2A
prerank,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,-0.5904663025467138,-1.661651721099953,0.0,0.8080681654070186,0.518,9/30,8.53%,ZEB1;PAK2;SIRT1;PTPRK;BCL9L;LATS1;LEMD3;TRIM33;KMT2A
prerank,GOBP_CELL_FATE_COMMITMENT,0.7650997771121059,1.603866727458486,0.0035671819262782403,0.2799209448323497,0.314,7/23,9.35%,SPN;PRDM11;BCL11B;BRAF;APC;PRKDC;ARHGEF2
prerank,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,-0.6755768596727855,-1.601560742001127,0.024390243902439025,0.6382997159774707,0.667,6/16,8.45%,ZEB1;SIRT1;BCL9L;LATS1;LEMD3;TRIM33
prerank,GOBP_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING,0.7467638746237775,1.5690016461948473,0.005995203836930456,0.4095139748473264,0.533,9/22,20.75%,LIMD1;PARN;PUM2;SPEN;CUL4A;ADAR;EIF4ENIF1;TNRC6C;EIF4G1
prerank,GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,-0.6382662843996221,-1.549479903066186,0.04371584699453552,0.614823729520692,0.798,3/17,7.22%,ZEB1;SIRT1;PAK1
prerank,GOBP_TELOMERE_ORGANIZATION,0.7045914073209103,1.5441529239647651,0.0022701475595913734,0.5061903752384991,0.685,6/32,10.09%,RIF1;ATRX;MAPK3;PARN;PRKDC;PRKCQ
prerank,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,0.7626497975929034,1.5420181718093906,0.0049261083743842365,0.42278430112086,0.699,4/18,10.09%,ATRX;MAPK3;PARN;PRKCQ
prerank,GOBP_T_CELL_MEDIATED_IMMUNITY,0.7753363808033935,1.52721219672305,0.008663366336633664,0.47033630360102213,0.781,9/17,19.52%,SPN;MAPK3;PRKAA1;HLA-H;MAP3K7;RFTN1;DUSP22;HLA-E;SASH3
prerank,GOBP_REGULATION_OF_DNA_RECOMBINATION,0.7312492742111893,1.5253848223288033,0.007100591715976331,0.41617875924809666,0.792,3/23,3.94%,RIF1;SMARCAD1;CHEK1
prerank,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,0.6916999999509328,1.5136633954447822,0.004509582863585118,0.4550011283825833,0.843,14/32,19.77%,SPN;RIF1;MAPK3;PRKAA1;BCL10;HLA-H;MAP3K7;RFTN1;DUSP22;VAV1;HLA-E;PRKCD;SASH3;PCYT1A
prerank,GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,0.6409842111136862,1.5109602661525543,0.0010799136069114472,0.42287645616442626,0.855,17/57,12.88%,SPN;BSG;PLCG1;MAPK3;APC;MAP4K4;PDPK1;MAP2K2;RICTOR;PIK3C2A;MAP3K7;ARHGEF2;RIPOR2;IL16;DMTN;PECAM1;ARHGEF7
prerank,GOBP_FAT_CELL_DIFFERENTIATION,-0.6286756277302978,-1.4979766917575916,0.0481283422459893,0.6290328792182159,0.872,2/16,0.90%,OSBPL8;SIRT1
prerank,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,-0.5818656879298238,-1.4969292488086623,0.033707865168539325,0.5064882299138305,0.875,6/23,8.45%,ZEB1;SIRT1;BCL9L;LATS1;LEMD3;TRIM33
prerank,GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,0.707493477022661,1.488584686928235,0.009378663540445486,0.556524308096316,0.934,4/24,10.09%,ATRX;MAPK3;PARN;PRKCQ
prerank,GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.7726931747344956,1.487636610708218,0.0112079701120797,0.5127171514774351,0.938,8/15,19.52%,SPN;MAPK3;PRKAA1;HLA-H;MAP3K7;DUSP22;HLA-E;SASH3
prerank,GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,0.7112692187826607,1.4805930279129784,0.01699029126213592,0.5254565390340589,0.95,5/21,14.52%,LIMD1;FAM53B;APC;EMD;SMARCA4
prerank,GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.7709519781164955,1.4763762959065765,0.0173053152039555,0.5174948749336516,0.957,3/15,5.09%,BSG;GAPDH;NUP153
prerank,GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,-0.5613844799144976,-1.470554598586356,0.0718232044198895,0.5060928448787689,0.906,7/23,8.45%,ZEB1;SIRT1;PTPRK;BCL9L;LATS1;LEMD3;TRIM33
prerank,GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,0.7587190580986624,1.4690753898600672,0.01631116687578419,0.5349600279018238,0.969,2/15,3.94%,RIF1;CHEK1
prerank,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,0.6478115409633827,1.4642990094642883,0.00995575221238938,0.5353747255978718,0.974,15/42,19.77%,SPN;RIF1;MAPK3;PRKAA1;BCL10;HLA-H;PDPK1;MAP3K7;RFTN1;DUSP22;VAV1;HLA-E;PRKCD;SASH3;PCYT1A
prerank,GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.6932293135214258,1.464236008105366,0.0117096018735363,0.5025617703980797,0.974,9/26,13.29%,SPN;RIF1;MAPK3;PRKAA1;HLA-H;PDPK1;MAP3K7;DUSP22;VAV1
prerank,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,0.6990846887754304,1.4602754988600868,0.015169194865810968,0.5009914077990747,0.975,8/25,11.57%,AFDN;BRAF;MICALL1;SGTB;OPTN;RFTN1;PEX16;DMTN
prerank,GOBP_RESPONSE_TO_CARBOHYDRATE,0.7216447025947746,1.459140430107424,0.014833127317676144,0.4806461490999914,0.976,8/20,22.81%,ASB3;PRKAA1;RAF1;PFKFB2;PRKCB;SMARCA4;DYNLL1;OSBP
prerank,GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,-0.49135475151076435,-1.4496206707431039,0.029850746268656716,0.4936311558272758,0.927,12/34,13.04%,BAZ2A;POLR1F;TTF1;ATAD2;TAF9;POLR1G;KMT2A;TAF1;ARID1A;POLR2A;GTF3C1;SMARCA5
prerank,GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,0.70047189304044,1.4426392528740348,0.018979833926453145,0.5804676434944516,0.988,8/22,13.29%,SPN;RIF1;MAPK3;PRKAA1;HLA-H;MAP3K7;DUSP22;VAV1
prerank,GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,0.6718102749096719,1.441637626101176,0.01800720288115246,0.5590643314846095,0.989,5/27,9.19%,GAPDH;PRKAA1;GART;PDE4A;PFKFB2
prerank,GOBP_REGULATION_OF_TRANSLATION,0.6156239134281023,1.4293710386442802,0.008629989212513484,0.6323152489264083,0.992,23/55,25.84%,LIMD1;GAPDH;EIF4G3;PUM2;ATXN2;GIGYF1;RPS6KA1;PRKDC;EIF4B;YTHDF2;MKNK1;RPS6KA3;EIF5B;EIF4ENIF1;KHDRBS1;TNRC6C;TPR;BZW1;EIF4G1;NCL;CSDE1;LARP1;GIGYF2
prerank,GOBP_GLIAL_CELL_DIFFERENTIATION,0.7124462491036292,1.4256566476212091,0.0173053152039555,0.6349115975970114,0.994,4/18,7.71%,MAPK3;RAF1;NAB1;MAP2K2
prerank,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.6211193318704846,1.4210146427454877,0.022002200220022004,0.648506060113207,0.996,10/43,10.50%,SPN;BSG;GAPDH;TMF1;BCL10;MAP3K7;ARHGEF2;RFTN1;PRKCQ;IL16
prerank,GOBP_LOCALIZATION_WITHIN_MEMBRANE,0.6023228480549107,1.4198007010542109,0.007415254237288136,0.6303836956695184,0.996,14/65,11.57%,BSG;PRKAA1;AFDN;VPS50;BRAF;MICALL1;PDPK1;SGTB;NMT1;DENND4C;OPTN;RFTN1;PEX16;DMTN
prerank,GOBP_ORGANIC_ANION_TRANSPORT,-0.5969087337295793,-1.4184433683665416,0.061224489795918366,0.513382756462716,0.95,2/15,8.70%,SLC2A1;ABCC4
