Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oocyte meiosis	7/129	0.0009266318393193704	0.0027537932126251	0	0	4.857016676088185	33.92118213159845	RPS6KA3;PPP3CB;RPS6KA1;MAPK1;ITPR3;ANAPC2;MAPK3
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	4/37	0.0009635676503269898	0.0028237885308193	0	0	10.175628626692456	70.66839619941261	PDPK1;PRKCB;MAPK1;MAPK3
KEGG_2021_Human	Phosphatidylinositol signaling system	6/97	0.0010923716672411	0.0031574030381901	0	0	5.566193463189172	37.95812255182081	PRKCB;ITPR3;PLCG1;PIK3C2A;PI4K2A;MTM1
KEGG_2021_Human	Lipid and atherosclerosis	9/215	0.001162212670291	0.0033138766679919	0	0	3.7145420008442382	25.100756127845052	PPP3CB;PDPK1;BAD;NFATC2;MAPK1;PLCG1;MAP2K7;MAP3K7;MAPK3
KEGG_2021_Human	Apelin signaling pathway	7/137	0.0013160184917994	0.0037023986902625	0	0	4.556266578249337	30.222374114083884	PRKAA1;MAP2K2;CAMK4;MAPK1;ITPR3;RAF1;MAPK3
KEGG_2021_Human	Melanogenesis	6/101	0.001346779158317	0.0037390842421698	0	0	5.330743166930201	35.23642207556122	MAP2K2;PRKCB;EP300;MAPK1;RAF1;MAPK3
KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	2/5	0.0013886814965131	0.0038053479969386	0	0	55.57805907172996	365.67031218383914	GLUD1;GLS
KEGG_2021_Human	Amphetamine addiction	5/69	0.001410069256041	0.0038144181157006	0	0	6.576188568376068	43.16686761284341	PPP3CB;PRKCB;HDAC1;CAMK4;SIRT1
KEGG_2021_Human	Amyotrophic lateral sclerosis	12/364	0.0015087053652669	0.0040295801528015	0	0	2.914847817380857	18.93631866837795	SETX;PPP3CB;ATXN2;BAD;HNRNPA2B1;TPR;NUP153;ITPR3;MATR3;HNRNPA1;RAB5A;OPTN
KEGG_2021_Human	Human cytomegalovirus infection	9/225	0.0015917989954272	0.0041983698504393	0	0	3.5407608695652173	22.812734423007097	RB1;PPP3CB;MAP2K2;PRKCB;NFATC2;MAPK1;ITPR3;RAF1;MAPK3
KEGG_2021_Human	Apoptosis	7/142	0.0016177500933311	0.0042141391320106	0	0	4.38639846743295	28.19015004909805	MAP2K2;PDPK1;BAD;MAPK1;ITPR3;RAF1;MAPK3
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	6/106	0.001725682122483	0.0044404747298038	0	0	5.062918454935622	32.21095993717796	PRKCB;MAPK1;ITPR3;BRAF;RAF1;MAPK3
