	αCD3_5min	αCD3_αCD226_5min	αCD3_αICOS_5min	αCD3_αCD2_5min	αCD3_10min	αCD3_αCD226_10min	αCD3_αICOS_10min	αCD3_αCD2_10min
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.43811991872797873	0.4802764957630957	0.8024198251105804	0.276053410534547	1.3687516195445555	0.32046475876340963	0.6132441582804762	1.0306133649388336
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.30965025087208164	0.4679197562456607	0.8267175794180077	0.33059183779113166	1.5262435229011087	0.27020237205250636	0.7682964957119868	0.6952580630903015
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1.3200930017134775	0.9552363187560686	0.33084622480008097	0.7475046366497624	1.3827886645994174	0.48245008822472946	1.1416736942519883	0.19818730426266531
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.5323903433618764	0.6516813808001647	0.4678382711505559	0.10381255714924305	1.069480864502542	0.7489988664362437	0.5225852038822726	0.5793438046988187
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	1.5670824077723924	0.4409905517426884	0.4159516115147571	0.43611964971564765	1.7618204859340343	2.410496045616074	0.9322482157331573	0.14822608073392973
GOBP_CALCIUM_ION_HOMEOSTASIS	1.0561530120555112	2.1533066203053663	1.6206564798196215	1.6066883955100348	0.9616847022577912	1.338770933933464	2.4538277764478678	0.63866481560764
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	0.23191714427686028	0.9953770700836198	0.8610120630184334	1.2425207234531133	0.3918621649781424	0.42453777716583246	1.6268534146667268	0.398717153791855
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	0.1398790864012365	0.7459665670122424	1.1083394747888384	0.9815590245226105	0.5481846105451078	1.668489455725395	2.459894852745158	0.2862062193469568
GOBP_CALCIUM_ION_TRANSPORT	0.35218251811136253	0.868935710757638	1.3134748151182392	0.7994893059139856	0.3258825777853052	0.6929727470289152	1.391131221119764	0.37443296853015046
GOBP_CALCIUM_MEDIATED_SIGNALING	0.5546543223872141	0.6653106353986119	1.9648355829367492	0.40543917682438707	0.8750612633917001	0.4896002807514175	1.751792151275026	0.9964086489104497
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	1.5264516579007321	0.3715512456528926	0.9143431571194408	0.29291210544180174	1.1938881452981764	0.969675917040596	0.38684664479161335	0.8639378630297956
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	1.377618431133327	1.0506697047412852	0.38263071583501895	0.03218468337140124	0.5819023565678088	0.3496081508702511	0.4610073007484191	0.36234261569936305
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.5440680443502757	0.5239828175558486	0.4695351320206408	0.8863485122753196	0.624619305672521	1.2592752475569802	2.0559514053291545	1.041862446677151
GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	1.4960065988800373	0.04666689610234978	0.008194478615271618	0.05691491621513685	0.4739627354748327	0.45863784902564936	0.0467877170449312	0.4696332333271125
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS	0.42334458844613243	0.49306906423502334	0.3838059453780101	0.5031867451585899	0.681809313953515	1.1407632967139387	1.5845196793420246	1.026959972358361
GOBP_CELLULAR_RESPONSE_TO_RADIATION	0.5051499783199059	0.48467439261010836	0.10878095179950556	1.5532760461371005	0.6211229973774586	0.09638958816219304	1.6434526764861879	0.6398485522173623
GOBP_CELL_CELL_ADHESION	0.32414646643981293	0.10825815384825735	0.35184335801454464	0.4478809519950425	1.319513401357995	0.30381097303358645	0.3776248206827848	0.3792344006288932
GOBP_CELL_CELL_SIGNALING	0.6848069726687044	1.252632408937098	0.9677498072413561	0.5724573279396006	0.5261353876141808	0.20870583059076853	1.2624958646654563	1.6223491978852385
GOBP_CELL_CYCLE	0.4137504745267584	0.341035157335565	0.1070359385968907	1.3010299956639813	0.4377071355435253	0.361205428799145	0.1754396543094333	0.21538270736712464
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	0.09510206429338043	1.4771212547196628	0.34097583501349327	1.2045959218618076	0.5438227495220075	0.01336396155798154	0.07799302510968886	0.4552507092639125
GOBP_CELL_CYCLE_PROCESS	0.3589589603368802	0.4668111092334846	0.1358519735382755	1.7208118872731537	0.37322512085094	0.6835191640281599	0.17132588525783043	0.2195340500295465
GOBP_CELL_FATE_COMMITMENT	1.101231386790699	0.1842091492778607	0.7385759920736613	0.023262307692803397	2.4476747410782544	0.3934627063172934	0.5074391489881146	0.48160626341153284
GOBP_CELL_GROWTH	0.6582751212671064	2.2041199826559246	0.14183452420638865	1.741753917000791	1.0994504293456286	0.6307923367480618	1.72336444328117	0.3941076421517522
GOBP_CELL_MATRIX_ADHESION	0.10339316997352857	0.1334268468338189	0.26854891611529946	0.2830566246520803	0.22428861267345548	0.38065237377787625	0.37234862090290144	1.4177484020255906
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.32741820350711875	0.2798617783387575	1.4020350105538542	0.4393326938302627	0.5054240676202016	0.6138557865533772	0.6480675794952631	1.4687052900301178
GOBP_CHEMICAL_HOMEOSTASIS	0.5547678896938193	0.82585122767303	1.5087541025887323	0.8338753359055086	0.37212392591880333	1.8279228671146421	0.942684348744606	0.7566406087301193
GOBP_CYTOPLASMIC_TRANSLATION	0.6096698515435596	1.0621479067488449	0.4343692742987126	20.0	0.07701518429111714	0.5015501218611044	0.05140247611293034	0.0791812460476248
GOBP_CYTOSKELETON_ORGANIZATION	1.129027618692723	0.4294570601181025	0.8284334429166985	1.3767507096020994	1.2587678517931278	1.3174539209360694	0.29157909986528724	0.5964449670501645
GOBP_CYTOSOLIC_TRANSPORT	0.5590356405739062	20.0	0.4389390139587033	0.20023921796429728	0.36918483748356257	1.0971856680359735	1.6592654965233826	1.6547336868958773
GOBP_DEFENSE_RESPONSE_TO_VIRUS	0.2979823025819759	1.4871383754771867	2.9513375187959534	0.3660782271588722	0.24614771743474861	0.24266034654748275	0.32184140088201174	0.21805576059921727
GOBP_DEVELOPMENTAL_CELL_GROWTH	0.3010299956639812	1.5368496873450945	0.04659508866389993	1.1873192388185128	0.35552995631088213	0.29996685074651935	0.11766173573679198	0.024291685946477744
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	0.014277896053863494	1.4149733479708186	0.2595908096778405	0.6812412373755873	0.24158046095623972	0.20380115639770277	0.1321283763457576	0.06778438773383802
GOBP_DNA_RECOMBINATION	0.07019994702833503	0.05529166170710607	0.06694678963061322	0.004615287663687488	1.2294838221324398	20.0	0.6025217611555208	0.22169526154905694
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	0.9592925021759665	0.11777559603380539	0.6020599913279624	0.06438078818113643	1.5250448070368454	1.421603926869832	1.1058698489577383	0.06185236779092486
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	0.026968914333389576	0.12018487933249174	0.8483798779126928	0.007334459898966006	0.7641925005812623	1.738384123512156	2.13724858482863	1.098721193097086
GOBP_EMBRYONIC_MORPHOGENESIS	1.6658935455344335	1.9133321058208397	0.44019819201659083	0.7544652019668895	0.38061542459969344	0.6274893702159484	0.5182745932298326	0.09976409435481322
GOBP_ENDOCYTOSIS	1.5118833609788753	0.3027918418202678	1.1326255652745916	0.5378637319489908	0.22634764320533554	0.0004607899444509332	0.07370253345738931	0.18966406624495508
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	0.35246135887978786		0.43772914315221745	0.347537613065599	0.4977925465618511	0.1123970325789663	1.7435097647284319	0.26332781856042625
GOBP_EPITHELIAL_CELL_PROLIFERATION	0.5414533797283683	0.36876340837127486	0.23318095588628424	0.26220749448863534	0.7958800173440752	0.07969068244844775	1.3870048134749466	0.38281614811302567
GOBP_ERBB_SIGNALING_PATHWAY	0.5342468963414717	0.7271672877993928	1.8035621572457117	0.3964044932884518	2.9003671286564794	0.41181641215602605	1.7863457289989175	1.754348335711019
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	0.6897526961391568	0.3316140833099998	0.807054686227022	0.3247043474881708	1.40544706512768	0.6556295396451569	0.18531789249406214	0.6216823813671868
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.46390372569419613	0.3268072157240679	0.46389815304136434	0.6070807927030132	1.8190374696163634	0.5635658340495538	0.1341653700466808	0.4836295359004108
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	0.15840317732474246	0.38776437960205196	0.2469287307601728	0.47570891369640467	0.747303616623146	0.934399421604123	1.4230116897942227	0.24771295369628107
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	1.5817666798885108	1.0235330418434736	0.610483536849296	1.0134526745563297	0.43365556093857216	1.4560720280527784	1.082974235064764	0.6110932618785113
GOBP_FAT_CELL_DIFFERENTIATION	0.13760458761264285	0.03614661382242303	0.09332571908474739	1.1461280356782382	1.317599097097174	0.0370823088175477	0.9822712330395686	0.04197996649437542
GOBP_GLIAL_CELL_DIFFERENTIATION	0.525931479037404	0.34014291452730766	0.02327617781981553	0.06597629876440568	1.7618204859340343	0.13756971152493866	0.5282096888496689	0.33778328912177585
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	0.41508358898725034	1.3246743294338263	0.38571258246088286	0.6116385515689255	0.09268046271195719	0.35687763931974237	0.2721305682425671	0.5744007228600836
GOBP_GROWTH	1.1701700050193862	2.5127733089991238	0.22972869819181188	0.5801434097955553	1.479377335023887	0.968208165576149	1.1325620672875045	0.7199368734487757
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.37798978171764797	1.4058491787258827	0.4709271527236234	0.40500186315952447	0.046558033611135155	0.9240841413801426	0.23919419419763363	0.4255044944066937
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	0.4555815768635528	0.07694986102408508	0.23408320603336796	0.7676858167054789	0.24598242933307574	0.02407549644545262	1.5314789170422558	0.10039035375547838
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	0.16581161981111064	0.2901779665319673	0.7663329842063447	0.1851215904856143	1.4343692742987126	0.6548732977568082	0.5246576490153033	0.31268960820897457
GOBP_IMPORT_INTO_NUCLEUS	0.19767393508830627	0.42257217084227083	1.5238427733829552	0.2023317917763199	0.9267343207617885	0.6822453869140407	1.1886663653308542	0.8595117904301544
GOBP_INFLAMMATORY_RESPONSE	1.5114058518797482	1.2437143444085876	0.5599485204152054	0.6256914401240807	0.5730962953926458	0.38802094334007	1.2286524576713016	0.6329270537036502
