condition	Name	Term	ES	NES	pval	fdr	FWER p-val	Tag %	Gene %	Lead_genes	kinase
αCD3_10min	prerank	PRKD1	0.6103881229846302	1.116180643066402	0.37944162436548223	0.7530061626333985	1.0	4/10	22.97%	VASP;MARK2;OSBP;HDAC7	PRKD1
αCD3_10min	prerank	CDC7	0.6829632103975163	1.1123866458187748	0.35236768802228413	0.7403193788646035	1.0	5/6	31.67%	PSIP1;NCL;MCM2;MFAP1;TOP2A	CDC7
αCD3_10min	prerank	ROCK1	-0.5528390727977119	-1.1114390859924361	0.3368421052631579	1.0	0.991	2/8	3.12%	DPYSL2;ARHGAP35	ROCK1
αCD3_10min	prerank	AMPKA2	-0.577283768557025	-1.111253922139066	0.3413793103448276	1.0	0.991	3/7	14.60%	PAK2;TP53BP1;PDHA1	AMPKA2
αCD3_10min	prerank	MARK2	0.7100520460007032	1.1084121109129934	0.362406015037594	0.7285835963725638	1.0	3/5	22.97%	ARHGEF2;MARK2;HDAC7	MARK2
αCD3_10min	prerank	PKCZ	0.6733237164118224	1.1013028257941961	0.3697478991596639	0.7263276814243392	1.0	4/6	31.91%	MARK2;NCOA3;VIM;ADD1	PKCZ
αCD3_10min	prerank	PAK1	0.5535410173720087	1.0967924111877903	0.35785536159601	0.7168805426123553	1.0	11/18	31.99%	BRAF;RAF1;SPEN;ARHGEF2;NF2;DYNLL1;STMN1;PXN;VIM;MORC2;ARHGDIA	PAK1
αCD3_10min	prerank	PKCD	0.5363925895337645	1.0936699982393916	0.36053593179049936	0.7039886312394954	1.0	7/19	33.14%	GAPDH;MARK2;PRKCD;EP300;CXCR4;ADD1;STAT1	PKCD
αCD3_10min	prerank	PKCT	0.6368878789676351	1.0764542793056326	0.4129834254143646	0.7334462117929992	1.0	5/8	23.63%	PPP1R12A;PDPK1;PRKCQ;PTPN7;CBLB	PKCT
αCD3_10min	prerank	PKCI	0.644496484041974	1.0755253469513313	0.4247538677918425	0.7148354125958214	1.0	4/7	34.37%	MARK2;VIM;EP300;BAD	PKCI
αCD3_10min	prerank	PRKD2	0.6771004942339374	1.0737104603507555	0.402002861230329	0.7001519782220219	1.0	5/5	32.57%	VASP;MARK2;HDAC7;PRKD2;PI4KB	PRKD2
αCD3_10min	prerank	HIPK2	-0.6134235240586268	-1.0584256955609248	0.4377104377104377	1.0	0.995	1/5	0.90%	SIRT1	HIPK2
αCD3_10min	prerank	IKKA	0.6373110313612549	1.0518273052357496	0.4331395348837209	0.7396663159476927	1.0	2/6	24.94%	NFKB2;NCOA3	IKKA
αCD3_10min	prerank	PKCE	0.6019030803030885	1.043323588898573	0.4536784741144414	0.7434596185337837	1.0	4/8	34.37%	GLS;RAB5A;PRKD2;BAD	PKCE
αCD3_10min	prerank	SGK1	0.573003083128574	1.0418629599542795	0.4663143989431968	0.7274990653917454	1.0	2/10	13.70%	RICTOR;MKNK1	SGK1
αCD3_10min	prerank	Abl	0.508983181186403	1.0403929265775236	0.4547677261613692	0.7124680595220202	1.0	9/21	29.78%	PLCG1;EMD;VAV1;RB1;JUNB;NCOA3;ABI1;PXN;CRKL	Abl
αCD3_10min	prerank	TBK1	0.606406308557087	1.021031596241061	0.49722222222222223	0.742258214706001	1.0	4/7	35.27%	OPTN;TRIP12;HTT;RPS6KB1	TBK1
αCD3_10min	prerank	PKG1	0.6096629359180319	1.0202173645645898	0.4965229485396384	0.7268149706899143	1.0	4/7	24.77%	VASP;ENSA;STMN1;LIPE	PKG1
αCD3_10min	prerank	Lck	0.549553919741532	0.9963513404152656	0.5126835781041389	0.764673394412033	1.0	4/11	13.29%	PRKCQ;PECAM1;LCP2;VAV1	Lck
αCD3_10min	prerank	ATM	-0.32352962645475974	-0.9874146856742942	0.46153846153846156	1.0	0.999	4/40	4.02%	ZEB1;SLC2A1;TOP2B;DBN1	ATM
αCD3_10min	prerank	JNK1	0.4748371469672992	0.9859053016975688	0.5042630937880633	0.7689114958391977	1.0	9/22	30.52%	LIMD1;EIF4ENIF1;JUNB;CDC25B;CDC25C;NCOA3;WDR62;PXN;CDKN1A	JNK1
αCD3_10min	prerank	PKCB	0.5897144231854611	0.9738937601357479	0.5745296671490593	0.7780349716919684	1.0	3/6	21.41%	PRKAA1;PRKCB;STMN1	PKCB
αCD3_10min	prerank	CDK2	0.39198555262360574	0.9464087314394032	0.6225234619395204	0.8165652631372575	1.0	12/78	10.91%	SRSF9;AFDN;CHEK1;APC;NUP98;TICRR;LRCH3;CRTC2;ANKLE2;KCNAB2;SORBS3;RBL1	CDK2
αCD3_10min	prerank	GSK3A	-0.42422765467930906	-0.9409679137670118	0.5134099616858238	1.0	1.0	1/11	0.25%	DPYSL2	GSK3A
αCD3_10min	prerank	Pim1	0.5613099872660346	0.9375266221450211	0.6183310533515732	0.8164737712310236	1.0	5/7	39.70%	CBX8;CDKN1A;CXCR4;BAD;NDRG1	Pim1
αCD3_10min	prerank	Src	0.3953967205501389	0.9313114998748608	0.6185897435897436	0.8112568264943134	1.0	20/55	31.99%	GAPDH;RAF1;ARAF;PDPK1;ARHGEF2;EMD;ARHGEF7;RPS6KA3;TRIM25;PRKCD;HDAC3;SH3GL1;RBM10;ARHGAP5;THRAP3;ACLY;PXN;PRKD2;PAG1;ARHGDIA	Src
αCD3_10min	prerank	PAK2	-0.5581455947445848	-0.9280235890953933	0.5525423728813559	1.0	1.0	1/5	0.57%	PAK2	PAK2
αCD3_10min	prerank	CDK7	0.5884506580628195	0.9255947403220691	0.6462196861626248	0.8047926821412467	1.0	3/5	25.27%	MED1;RB1;MCM2	CDK7
αCD3_10min	prerank	PLK1	0.4171792564895197	0.9237009041683345	0.6172140430351076	0.7921899894784308	1.0	12/33	31.67%	CLIP1;PRKDC;MAP2K2;OPTN;CDC27;CEP55;CDC25B;CDC25C;MDC1;WDR62;VIM;TOP2A	PLK1
αCD3_10min	prerank	IKKB	0.5305054483401147	0.9184567418913827	0.6341463414634146	0.785012216219721	1.0	5/8	33.14%	BCL10;OPTN;PFKFB3;HTT;STAT1	IKKB
αCD3_10min	prerank	p70S6K	0.5005722787052029	0.8934551761538919	0.6805929919137467	0.8110915839008429	1.0	3/10	19.20%	RICTOR;EIF4B;URI1	p70S6K
