condition	Name	Term	ES	NES	pval	fdr	fwer	tag_pct	gene_pct	Lead_genes	go_id	term_label
αCD3_5min	prerank	GOBP_DEPHOSPHORYLATION	0.46674566655458277	0.9756830235354814	0.5208070617906684	0.979212987815568	1.0	7/20	21.25%	PPP1R12A;PTPN22;MTMR6;INPP5D;PTPN7;URI1;MTM1		GOBP_DEPHOSPHORYLATION
αCD3_5min	prerank	GOBP_CELL_ADHESION	0.3750924607877859	0.9756597610318685	0.5541666666666667	0.9767477728083	1.0	37/117	28.88%	SPN;PPP1R12A;BSG;SMARCD2;PTPN22;PRKCQ;BCL10;SIPA1;ITGB7;CD5;DMTN;SASH3;RIPOR2;AFDN;PBRM1;EP300;AP3D1;ARHGEF7;CLASP1;NF2;MAP4K4;ITGAE;HLA-E;VEZT;PIP5K1A;CBLB;ARHGAP5;PLEKHA2;CBLL1;ITPKB;TMX1;PRKD2;NF1;SORBS3;CXCR4;DOCK8;VAV1		GOBP_CELL_ADHESION
αCD3_5min	prerank	GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	0.4256940276938862	0.9742222550396684	0.5240328253223916	0.9785688704894706	1.0	10/36	18.95%	SPN;CAMK4;MAPK3;BCL10;SASH3;TREX1;EP300;JUNB;INPP5D;HLA-E		GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
αCD3_5min	prerank	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	0.42915694142763594	0.9719321164225854	0.5352286773794809	0.9829451529604664	1.0	7/33	20.43%	SMARCD2;CDC27;SMC4;TACC3;PBRM1;RB1;TPR		GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION
αCD3_5min	prerank	GOBP_SPINDLE_ORGANIZATION	0.4219483383652025	0.9717779002484128	0.5501770956316411	0.9808796067234368	1.0	18/38	32.40%	EML3;MAPRE2;RIPOR2;TACC3;WDR62;MAPRE1;CLASP1;STMN1;BCCIP;TPR;RACGAP1;PCNT;TACC1;INCENP;CCDC61;CHD3;SUGT1;CLASP2		GOBP_SPINDLE_ORGANIZATION
αCD3_5min	prerank	GOBP_WOUND_HEALING	0.4306354371481592	0.9711134572530502	0.5289256198347108	0.9803509693482041	1.0	15/32	32.57%	JMJD1C;PRKCQ;DMTN;RASA3;MRTFA;ARHGAP35;CLASP1;AHNAK;TMX1;RAF1;NF1;VAV1;CLASP2;SLC12A2;TLN1		GOBP_WOUND_HEALING
αCD3_5min	prerank	GOBP_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING	0.4566429064079947	0.971109712544756	0.5391414141414141	0.9778383985985415	1.0	5/22	12.80%	NCBP1;PARN;LIMD1;HELZ;ADAR		GOBP_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING
αCD3_5min	prerank	GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS	0.4860876559150554	0.9710806044728205	0.5421530479896238	0.9754247574619573	1.0	4/15	9.52%	SPN;CAMK4;BCL11B;CD3G		GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS
αCD3_5min	prerank	GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	-0.4073502242416275	-0.9710454924558348	0.4594594594594595	0.8150199747296618	1.0	4/16	8.29%	PAK2;LIMK1;PAK1;BRAF		GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION
αCD3_5min	prerank	GOBP_ERYTHROCYTE_HOMEOSTASIS	0.44613866960560283	0.970702314822218	0.5315101070154578	0.9741366574980381	1.0	11/28	25.59%	HCLS1;ACIN1;DMTN;MED1;ADAR;INPP5D;RB1;STAT1;SENP1;IREB2;RACGAP1		GOBP_ERYTHROCYTE_HOMEOSTASIS
