arm	go_id	term_label	pattern	pval_5min	pval_10min
aCD3_only		GOBP_CELLULAR_RESPIRATION	Absent	0.8062111801242235	0.1060025542784163
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS	Absent	0.8900462962962963	0.8215077605321508
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	Absent	0.3960149439601494	0.7334933973589436
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Absent	0.1597222222222222	0.1391304347826087
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	Absent	0.8575916230366493	0.8641975308641975
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	Absent	0.5858695652173913	0.3392670157068063
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	Absent	0.2857142857142857	0.2373453318335208
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS	Absent	0.1417004048582996	0.5105263157894737
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_LIPID	Absent	0.6083333333333333	0.8772874058127018
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_METAL_ION	Absent	0.8969957081545065	0.2583025830258302
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	Absent	0.3748427672955974	0.7248484848484849
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	Absent	0.2885032537960954	0.1861198738170347
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	Absent	0.8683901292596945	0.3846153846153846
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	Early	0.0319148936170212	0.3357664233576642
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	Absent	0.6247422680412371	0.6091370558375635
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS	Absent	0.3772727272727272	0.2080610021786492
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_RADIATION	Absent	0.3125	0.2392638036809816
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	Absent	0.0964912280701754	0.2886597938144329
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_STARVATION	Absent	0.1065088757396449	0.1333333333333333
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	Absent	0.392156862745098	0.4678362573099415
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_STRESS	Absent	0.9246987951807228	0.2192192192192192
aCD3_only		GOBP_CELLULAR_RESPONSE_TO_UV	Absent	0.07421875	0.2462311557788944
aCD3_only		GOBP_CELLULAR_SENESCENCE	Absent	0.4862745098039215	0.2891566265060241
aCD3_only		GOBP_CELL_ACTIVATION	Absent	0.4648760330578512	0.165482233502538
aCD3_only		GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	Absent	0.917728852838934	0.4631696428571428
aCD3_only		GOBP_CELL_ADHESION	Absent	0.5541666666666667	0.0623084780388151
aCD3_only		GOBP_CELL_CELL_ADHESION	Late	0.4740820734341253	0.0479166666666666
aCD3_only		GOBP_CELL_CELL_JUNCTION_ORGANIZATION	Absent	0.9081632653061223	0.3404255319148936
aCD3_only		GOBP_CELL_CELL_SIGNALING	Absent	0.2066298342541436	0.2977588046958377
aCD3_only		GOBP_CELL_CHEMOTAXIS	Absent	0.2677261613691931	0.1104513064133016
aCD3_only		GOBP_CELL_CYCLE	Absent	0.3856998992950655	0.365
aCD3_only		GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	Absent	0.8033373063170441	0.2858757062146893
aCD3_only		GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	Absent	0.8859447004608295	0.5028121484814398
aCD3_only		GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	Absent	0.9786700125470514	0.6434676434676435
aCD3_only		GOBP_CELL_CYCLE_PHASE_TRANSITION	Absent	0.8394396551724138	0.3112033195020747
aCD3_only		GOBP_CELL_CYCLE_PROCESS	Absent	0.4375634517766497	0.4234234234234234
aCD3_only		GOBP_CELL_DIVISION	Absent	0.5169133192389006	0.4440993788819876
aCD3_only		GOBP_CELL_FATE_COMMITMENT	Late	0.0792079207920792	0.0035671819262782
aCD3_only		GOBP_CELL_GROWTH	Absent	0.2196467991169978	0.0795334040296924
aCD3_only		GOBP_CELL_JUNCTION_ASSEMBLY	Absent	0.9162735849056604	0.5904977375565611
aCD3_only		GOBP_CELL_JUNCTION_ORGANIZATION	Absent	0.6492204899777283	0.5628997867803838
aCD3_only		GOBP_CELL_MATRIX_ADHESION	Absent	0.7881462799495587	0.5966386554621849
aCD3_only		GOBP_CELL_MIGRATION	Absent	0.1924257932446264	0.1337386018237082
aCD3_only		GOBP_CELL_MORPHOGENESIS	Absent	0.4033790918690602	0.170582226762002
aCD3_only		GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	Absent	0.4882418812989921	0.7021739130434783
aCD3_only		GOBP_CELL_MOTILITY	Absent	0.1107692307692307	0.0869565217391304
aCD3_only		GOBP_CELL_PROJECTION_ASSEMBLY	Absent	0.1368653421633554	0.430719656283566
aCD3_only		GOBP_CELL_PROJECTION_MORPHOGENESIS	Absent	0.316079295154185	0.5016181229773463
aCD3_only		GOBP_CELL_PROJECTION_ORGANIZATION	Absent	0.4639917695473251	0.5399393326592518
aCD3_only		GOBP_CELL_SUBSTRATE_ADHESION	Absent	0.821256038647343	0.4479166666666667
aCD3_only		GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	Absent	0.7286821705426356	0.7349246231155779
aCD3_only		GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	Absent	0.38125	0.6970046082949308
aCD3_only		GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	Absent	0.4705240174672489	0.3123028391167192
aCD3_only		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	Absent	0.8265086206896551	0.5609504132231405
