condition	go_id	term_label	n_lead_genes	file	string_url_truncated
αCD3_10min		GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	9	output/analyze/leading_edge/αCD3_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	https://string-db.org/cgi/network?identifiers=BCL9L%0DKMT2A%0DLATS1%0DLEMD3%0DPAK2%0DPTPRK%0DSIRT1%0DTRIM33%0DZEB1&species=9606
αCD3_10min		GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	17	output/analyze/leading_edge/αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	https://string-db.org/cgi/network?identifiers=APC%0DARHGEF2%0DARHGEF7%0DBSG%0DDMTN%0DIL16%0DMAP2K2%0DMAP3K7%0DMAP4K4%0DMAPK3%0DPDPK1%0DPECAM1%0DPIK3C2A%0DPLCG1%0DRICTOR%0DRIPOR2%0DSPN&species=9606
αCD3_10min		GOBP_ERBB_SIGNALING_PATHWAY	7	output/analyze/leading_edge/αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	https://string-db.org/cgi/network?identifiers=BRAF%0DMAP2K2%0DMAPK3%0DPDPK1%0DPIK3C2A%0DPLCG1%0DRAF1&species=9606
αCD3_10min		GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	31	output/analyze/leading_edge/αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	https://string-db.org/cgi/network?identifiers=ADAR%0DATXN2%0DBZW1%0DCSDE1%0DCUL4A%0DEDC3%0DEIF4B%0DEIF4ENIF1%0DEIF4G1%0DEIF4G3%0DEIF5B%0DGAPDH%0DGIGYF1%0DGIGYF2%0DHNRNPA0%0DKHDRBS1%0DLARP1%0DLIMD1%0DMATR3%0DMKNK1%0DNCL%0DPARN%0DPRKCD%0DPRKDC%0DPUM2%0DRBM10%0DRPS6KA1%0DRPS6KA3%0DTNRC6C%0DTPR%0DYTHDF2&species=9606
αCD3_10min		GOBP_TELOMERE_ORGANIZATION	6	output/analyze/leading_edge/αCD3_10min__GOBP_TELOMERE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ATRX%0DMAPK3%0DPARN%0DPRKCQ%0DPRKDC%0DRIF1&species=9606
αCD3_αCD226_10min		GOBP_DNA_RECOMBINATION	7	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_DNA_RECOMBINATION.txt	https://string-db.org/cgi/network?identifiers=BCL11B%0DH1-5%0DLIG1%0DMCM4%0DRECQL4%0DTOP2B%0DUNG&species=9606
αCD3_αCD226_10min		GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	48	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ADD1%0DAHNAK%0DARHGAP35%0DARHGEF7%0DASAP1%0DC2CD5%0DCAMK1%0DCLASP1%0DDOCK2%0DEIF4G1%0DEVL%0DFBXO38%0DGOLGA4%0DGSK3A%0DHNRNPA1%0DHNRNPA2B1%0DHTT%0DICE1%0DIQSEC1%0DLIMA1%0DMAP2K2%0DMAP2K7%0DMAP4K4%0DMAPK3%0DMAPRE1%0DMARK2%0DNDEL1%0DNF2%0DNFATC2%0DOSBP%0DPARN%0DPHIP%0DPRKCQ%0DPTPN22%0DPUM2%0DRAB3GAP1%0DRAPGEF6%0DRB1%0DRICTOR%0DRIPOR2%0DSEMA4D%0DSEPTIN9%0DSF3A2%0DSORBS3%0DTERF2IP%0DVASP%0DWASF2%0DYY1&species=9606
αCD3_αCD226_10min		GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION.txt	https://string-db.org/cgi/network?identifiers=BSG%0DGAPDH%0DITGB7%0DNUP153&species=9606
αCD3_αCD226_10min		GOBP_REGULATION_OF_TRANSPORT	49	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	https://string-db.org/cgi/network?identifiers=AIMP1%0DARFGAP1%0DATP2B1%0DBAD%0DBSG%0DC2CD5%0DCAMK1%0DCBLB%0DCEP131%0DCLASP1%0DDOCK2%0DEMD%0DGAPVD1%0DGLUD1%0DGSK3A%0DHCLS1%0DHMGCR%0DICE1%0DIQSEC1%0DIWS1%0DKHDRBS1%0DLAMTOR1%0DLIME1%0DMAP2K2%0DMAPK3%0DNDEL1%0DNF1%0DNF2%0DNUP153%0DOSBP%0DOSBPL8%0DPCM1%0DPCNT%0DPEA15%0DPFKFB2%0DPFKL%0DPPP1R12A%0DPRKAA1%0DPRKCB%0DPRKCD%0DRAB3GAP1%0DRAB5A%0DRBM10%0DRIC1%0DSARAF%0DSEPTIN1%0DSTIM1%0DSTIM2%0DTRIM28&species=9606
αCD3_αCD226_10min		GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	26	output/analyze/leading_edge/αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	https://string-db.org/cgi/network?identifiers=ARHGAP35%0DC2CD5%0DCLASP1%0DEVL%0DGSK3A%0DHNRNPA1%0DHNRNPA2B1%0DHTT%0DLIMA1%0DMAP2K7%0DMAPK3%0DMAPRE1%0DNF2%0DOSBP%0DPARN%0DPHIP%0DPRKCQ%0DRAB3GAP1%0DRB1%0DRICTOR%0DSEPTIN9%0DSORBS3%0DTERF2IP%0DVASP%0DWASF2%0DYY1&species=9606
