leading_edge_list	kinase	overlap	lead_n	substrate_n	universe_n	fisher_p_two_sided	fdr_bh
αCD3_αICOS_10min__nan.txt	JAK2	2	14	9	1219	0.004213917675449283	0.0828737142838359
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	AurA	4	18	16	1219	5.442362395600948e-05	0.006421987626809118
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	GSK3B	4	18	33	1219	0.0010444500405582386	0.06162255239293608
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	MARK2	2	18	5	1219	0.002007272612692506	0.07895272276590524
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	AurA	3	15	16	1219	0.0007681185779052497	0.045318996096409735
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	GSK3B	4	15	33	1219	0.0004935935913793309	0.045318996096409735
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	MARK2	2	15	5	1219	0.0013843932705936593	0.05445280197668393
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	LKB1	2	15	8	1219	0.0037941698702146703	0.08954240893706622
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	Src	4	15	55	1219	0.0034977715596883436	0.08954240893706622
αCD3_αICOS_5min__nan.txt	ERK1	8	32	47	1219	1.3899752631333636e-05	0.0016401708104973691
αCD3_αICOS_5min__nan.txt	ERK2	7	32	54	1219	0.0003219518394453909	0.018995158527278063
