	αCD3_αCD226_10min__GOBP_REGULATION_OF_TRANSPORT.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION.txt	αCD3_αICOS_5min__nan.txt	αCD3_10min__GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION.txt	αCD3_αCD226_5min__GOBP_GROWTH.txt	αCD3_αCD226_10min__GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION.txt	αCD3_αCD226_5min__GOBP_CELL_GROWTH.txt	αCD3_αCD226_5min__GOBP_REGULATION_OF_GROWTH.txt	αCD3_5min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	αCD3_αCD2_10min__GOBP_NERVOUS_SYSTEM_PROCESS.txt	αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS.txt	αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	αCD3_5min__GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY.txt	αCD3_αICOS_5min__GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION.txt	αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	αCD3_αICOS_10min__nan.txt	αCD3_αCD226_5min__nan.txt	αCD3_αCD2_5min__GOBP_CYTOPLASMIC_TRANSLATION.txt	αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	αCD3_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	αCD3_αCD2_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	αCD3_αCD2_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αICOS_5min__GO_1902533.txt	αCD3_αCD226_10min__GO_0097435.txt	αCD3_αCD226_5min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αCD2_10min__GOBP_REGULATION_OF_MACROAUTOPHAGY.txt	αCD3_αCD2_10min__GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY.txt	αCD3_αCD2_5min__GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS.txt	αCD3_αCD2_5min__GOBP_REGULATION_OF_CELL_SHAPE.txt	αCD3_αCD2_5min__GO_0006351.txt	αCD3_αCD2_5min__nan.txt	αCD3_αICOS_5min__GOBP_DEFENSE_RESPONSE_TO_VIRUS.txt	αCD3_10min__GOBP_ERBB_SIGNALING_PATHWAY.txt	αCD3_αCD226_10min__GOBP_DNA_RECOMBINATION.txt	αCD3_αCD2_10min__nan.txt	αCD3_αCD2_5min__GO_0000184.txt	αCD3_10min__GOBP_TELOMERE_ORGANIZATION.txt	αCD3_10min__GO_0032869.txt	αCD3_5min__GO_0034250.txt	αCD3_αCD2_5min__GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION.txt	αCD3_αICOS_10min__GOBP_VESICLE_ORGANIZATION.txt	αCD3_αICOS_5min__GO_0051091.txt	αCD3_5min__GOBP_RESPONSE_TO_UV.txt	αCD3_5min__GO_0006397.txt	αCD3_5min__nan.txt	αCD3_αCD226_5min__GOBP_CYTOSOLIC_TRANSPORT.txt	αCD3_αCD2_10min__GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI.txt	αCD3_αICOS_10min__GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION.txt	αCD3_αICOS_10min__GO_0032869.txt	αCD3_10min__GO_0000184.txt	αCD3_αCD226_10min__GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION.txt	αCD3_αCD226_5min__GO_0008380.txt	αCD3_αCD2_10min__GO_0031401.txt	αCD3_αCD2_10min__GO_0043484.txt	αCD3_αICOS_10min__GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT.txt	αCD3_αICOS_10min__GO_0051276.txt	αCD3_αICOS_5min__GOBP_TYPE_I_INTERFERON_PRODUCTION.txt	αCD3_10min__nan.txt
αCD3_10min__GOBP_POSITIVE_REGULATION_OF_LOCOMOTION.txt	0.047619047619047616	0.1016949152542373	0.09090909090909091	0.020833333333333332	0.0	0.0	0.04878048780487805	0.0	0.0	0.5217391304347826	0.06060606060606061	0.12903225806451613	1.0	0.0625	0.10344827586206896	0.14285714285714285	0.0	0.06896551724137931	0.1111111111111111	0.0	0.0	0.0	0.0	0.04	0.08333333333333333	0.0	0.0	0.08695652173913043	0.0	0.0	0.041666666666666664	0.0	0.08695652173913043	0.041666666666666664	0.2631578947368421	0.0	0.043478260869565216	0.0	0.045454545454545456	0.15	0.0	0.045454545454545456	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.05	0.0	0.05	0.0	0.10526315789473684	0.0	0.0	0.0
αCD3_5min__GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY.txt	0.047619047619047616	0.14035087719298245	0.2	0.020833333333333332	0.043478260869565216	0.021739130434782608	0.10256410256410256	0.02857142857142857	0.02857142857142857	0.12903225806451613	0.029411764705882353	0.16666666666666666	0.0625	1.0	0.23076923076923078	0.18518518518518517	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.041666666666666664	0.0	0.0	0.041666666666666664	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
αCD3_αICOS_5min__GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION.txt	0.04918032786885246	0.06779661016949153	0.09433962264150944	0.06818181818181818	0.0	0.022727272727272728	0.05128205128205128	0.030303030303030304	0.0	0.1	0.03125	0.32	0.10344827586206896	0.23076923076923078	1.0	0.36363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
αCD3_αICOS_5min__GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION.txt	0.03225806451612903	0.08620689655172414	0.13725490196078433	0.044444444444444446	0.022222222222222223	0.0	0.05128205128205128	0.0	0.0	0.13793103448275862	0.06451612903225806	0.8333333333333334	0.14285714285714285	0.18518518518518517	0.36363636363636365	1.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09523809523809523	0.0	0.0	0.0	0.047619047619047616	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS.txt	0.016129032258064516	0.0	0.0	0.045454545454545456	0.0	0.047619047619047616	0.0	0.03125	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.043478260869565216	0.7142857142857143	0.09523809523809523	0.09523809523809523	0.045454545454545456	0.0	0.047619047619047616	0.1	0.0	0.1	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.05555555555555555	0.05555555555555555	0.0	0.0	0.0	0.11764705882352941	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
αCD3_αICOS_10min__nan.txt	0.08620689655172414	0.06896551724137931	0.09615384615384616	0.022222222222222223	0.046511627906976744	0.047619047619047616	0.1111111111111111	0.06451612903225806	0.06451612903225806	0.03225806451612903	0.06666666666666667	0.03225806451612903	0.06896551724137931	0.03333333333333333	0.0	0.03571428571428571	0.0	1.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	0.10526315789473684	0.0	0.10526315789473684	0.0	0.17647058823529413	0.25	0.0	0.1111111111111111	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.35714285714285715	0.0	0.0	0.0	0.058823529411764705	0.0	0.058823529411764705	0.0	0.0	0.0
αCD3_αCD226_5min__nan.txt	0.01639344262295082	0.016666666666666666	0.037037037037037035	0.022727272727272728	0.047619047619047616	0.04878048780487805	0.02631578947368421	0.03225806451612903	0.0	0.10714285714285714	0.10714285714285714	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.038461538461538464	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.1111111111111111	0.0	0.05263157894736842	0.0	0.05555555555555555	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0625	0.0	0.0625	0.0
αCD3_αCD2_5min__GOBP_CYTOPLASMIC_TRANSLATION.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
αCD3_αICOS_10min__GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION.txt	0.017241379310344827	0.0	0.0	0.05	0.0	0.05263157894736842	0.0	0.03571428571428571	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	1.0	0.11764705882352941	0.11764705882352941	0.05555555555555555	0.0	0.058823529411764705	0.125	0.0	0.125	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.07142857142857142	0.07142857142857142	0.0	0.0	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2727272727272727	0.0	0.0
αCD3_10min__GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA.txt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09523809523809523	0.0	0.0	0.0	0.11764705882352941	1.0	0.6363636363636364	0.5	0.0	0.0	0.4166666666666667	0.0	0.5454545454545454	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0
